Timestamp, Scenario Name, Participant Number, Number of Targets, Number of Active Units, Number of In-Active Units, Score, Resource Pool,  , Blue Group Center X, Blue Group Center Y, Blue Group Proximity Min, Blue Group Proximity Max, Blue Group Search Radius, Blue Group Mode, Blue Group Number of Active Units, Blue Group Number of In-Active Units, Blue Group Unit Names,  , Target ID: T1 Priority, Target ID: T1 True Identity, Target ID: T1 Mark Status, Target ID: T1 Marked Identity, Target ID: T1 Score Generated, Target ID: T1 Location X, Target ID: T1 Location Y, Target ID: T1 Detection, Target ID: T1 Interception, Target ID: Battleship Priority, Target ID: Battleship True Identity, Target ID: Battleship Mark Status, Target ID: Battleship Marked Identity, Target ID: Battleship Score Generated, Target ID: Battleship Location X, Target ID: Battleship Location Y, Target ID: Battleship Detection, Target ID: Battleship Interception, Target ID: T3 Priority, Target ID: T3 True Identity, Target ID: T3 Mark Status, Target ID: T3 Marked Identity, Target ID: T3 Score Generated, Target ID: T3 Location X, Target ID: T3 Location Y, Target ID: T3 Detection, Target ID: T3 Interception, Target ID: Battleship Priority, Target ID: Battleship True Identity, Target ID: Battleship Mark Status, Target ID: Battleship Marked Identity, Target ID: Battleship Score Generated, Target ID: Battleship Location X, Target ID: Battleship Location Y, Target ID: Battleship Detection, Target ID: Battleship Interception, Target ID: Battleship Priority, Target ID: Battleship True Identity, Target ID: Battleship Mark Status, Target ID: Battleship Marked Identity, Target ID: Battleship Score Generated, Target ID: Battleship Location X, Target ID: Battleship Location Y, Target ID: Battleship Detection, Target ID: Battleship Interception, Target ID: T6 Priority, Target ID: T6 True Identity, Target ID: T6 Mark Status, Target ID: T6 Marked Identity, Target ID: T6 Score Generated, Target ID: T6 Location X, Target ID: T6 Location Y, Target ID: T6 Detection, Target ID: T6 Interception,  , Unit ID: 1 Group, Unit ID: 1 Location X, Unit ID: 1 Location Y, Unit ID: 1 Launch Status, Unit ID: 1 Detection Radius, Unit ID: 1 Target Detection Status, Unit ID: 1 Speed, Unit ID: 1 Price, Unit ID: 2 Group, Unit ID: 2 Location X, Unit ID: 2 Location Y, Unit ID: 2 Launch Status, Unit ID: 2 Detection Radius, Unit ID: 2 Target Detection Status, Unit ID: 2 Speed, Unit ID: 2 Price, Unit ID: 3 Group, Unit ID: 3 Location X, Unit ID: 3 Location Y, Unit ID: 3 Launch Status, Unit ID: 3 Detection Radius, Unit ID: 3 Target Detection Status, Unit ID: 3 Speed, Unit ID: 3 Price, Unit ID: 4 Group, Unit ID: 4 Location X, Unit ID: 4 Location Y, Unit ID: 4 Launch Status, Unit ID: 4 Detection Radius, Unit ID: 4 Target Detection Status, Unit ID: 4 Speed, Unit ID: 4 Price, Unit ID: 5 Group, Unit ID: 5 Location X, Unit ID: 5 Location Y, Unit ID: 5 Launch Status, Unit ID: 5 Detection Radius, Unit ID: 5 Target Detection Status, Unit ID: 5 Speed, Unit ID: 5 Price, Mouse Position X, Mouse Position Y, Launch Button, Briefing Button, Briefing Close Button, Status Button, Status Close Button, Overlay Button, View Target Button, Target Detection Submit Button,  Target Detection Detection Close Button, Red Unit to Blue Unit Switch Button, Blue Unit to Red Unit Switch Button, Blue Group Auto Mode Button, Blue Group Button, Blue Group Seek Button, Blue Group Track Button, Red Group Auto Mode, Red Group Button, Red Group Seek Button, Red Group Track Button
14:16:06, Demo4, 1, 6, 2, 8, 0,  $,  , 456,589, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 660,180, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 751,502, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 501,401, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 199,170, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 597,299, Undetected, Unintercepted, , Blue, 442, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 470, 587, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 980, 614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 456,589, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 660,180, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 752,504, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 502,402, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 198,170, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 594,298, Undetected, Unintercepted, , Blue, 442, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 470, 587, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 980, 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 456,591, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 660,180, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 752,504, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 502,402, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 198,170, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 594,298, Undetected, Unintercepted, , Blue, 442, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 471, 590, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 980, 611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 456,591, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 657,179, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 753,506, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 197,170, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 590,296, Undetected, Unintercepted, , Blue, 442, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 471, 590, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 980, 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 457,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 657,179, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 753,506, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 197,170, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 590,296, Undetected, Unintercepted, , Blue, 440, 595, ACTIVE, 20.0, N/A, 2,$5, Blue, 474, 593, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 979, 605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 457,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 655,179, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 754,508, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 195,169, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 586,294, Undetected, Unintercepted, , Blue, 438, 595, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 591, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 978, 604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 457,593, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 400,400, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 655,179, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 754,508, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 195,169, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 586,294, Undetected, Unintercepted, , Blue, 438, 595, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 591, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 994, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 456,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 401,401, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 652,178, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 755,510, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 193,168, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 582,292, Undetected, Unintercepted, , Blue, 436, 597, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1508, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 456,594, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 401,401, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 652,178, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 755,510, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 193,168, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 582,292, Undetected, Unintercepted, , Blue, 436, 597, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1684, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14:16:07, Demo4, 1, 6, 2, 8, 0,  $,  , 456,595, 28.00, 100.00, 100.00, Not Tracking, 2, 3, 1  2 ,  ,  , Low,LOW, N/A, N/A,0.0, 402,402, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 650,178, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 755,511, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 503,403, Undetected, Unintercepted, HIGH,LOW, N/A, N/A,0.0, 190,166, Undetected, Unintercepted, HIGH,HIGH, N/A, N/A,0.0, 579,291, Undetected, Unintercepted, , Blue, 436, 598, ACTIVE, 20.0, N/A, 2,$5, Blue, 477, 592, ACTIVE, 20.0, N/A, 2,$5, Blue, 480, 590, INACTIVE, 50.0, N/A, 2,$35, Blue, 450, 590, INACTIVE, 75.0, N/A, 2,$40, Blue, 750, 270, INACTIVE, 100.0, N/A, 2,$50, 1652, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
